cnpj,empresa,setor,cidade,regiao,capital_social,investimento_inicial,anos_atividade,data_abertura,lat,lon
10.906.449/0001-38,Empresa 8136 LTDA,Serviços (MEI),Breves,Marajó,31507.64,12609.34,15,2011-04-06,-8.71341013179364,-50.777364335556825
75.916.446/0001-56,Empresa 5536 LTDA,Logística,Capanema,Nordeste,6371985.52,1589024.81,17,2009-04-06,-1.0105226417718267,-50.79891654060445
92.254.161/0001-55,Empresa 3339 LTDA,Alimentação,Redenção,Sudeste,48662.78,34479.83,5,2021-04-06,-0.46780025624174826,-50.36601317808095
40.339.179/0001-63,Empresa 6428 LTDA,Tecnologia,Marituba,Metropolitana,898364.93,378490.77,9,2017-04-06,-1.367713540925453,-48.368687356605264
25.918.324/0001-73,Empresa 2124 LTDA,Alimentação,Marabá,Sudeste,44585.86,22886.49,11,2015-04-06,-6.533415367339192,-51.59971445480919
11.824.896/0001-51,Empresa 4587 LTDA,Serviços (MEI),Marabá,Sudeste,82681.45,18114.31,18,2008-04-06,-7.608915710123037,-49.00789373330231
60.856.974/0001-39,Empresa 7478 LTDA,Tecnologia,Marituba,Metropolitana,590678.44,359040.85,4,2022-04-06,-1.3002085759535158,-48.51574096445553
22.185.492/0001-19,Empresa 1980 LTDA,Serviços (MEI),Breves,Marajó,10139.78,5151.12,11,2015-04-06,-6.48384044310174,-55.98159390429212
34.667.272/0001-34,Empresa 4264 LTDA,Vestuário,Santarém,Oeste,85281.14,57461.78,9,2017-04-06,-6.446766290856585,-52.77105403427719
72.201.316/0001-43,Empresa 5839 LTDA,Tecnologia,Itaituba,Oeste,141687.77,47597.96,13,2013-04-06,-3.6846732828175393,-46.74774956820338
75.149.746/0001-18,Empresa 5341 LTDA,Alimentação,Santa Izabel do Pará,Metropolitana,115360.64,44139.38,15,2011-04-06,-1.4606944193448803,-48.47902171674546
27.371.367/0001-44,Empresa 3323 LTDA,Serviços (MEI),Parauapebas,Sudeste,21092.13,14549.55,7,2019-04-06,-8.586286960945072,-52.374518862663535
72.459.801/0001-93,Empresa 8815 LTDA,Alimentação,Santa Izabel do Pará,Metropolitana,45075.15,31588.68,3,2023-04-06,-1.4206198477343839,-48.39834645505643
40.285.243/0001-83,Empresa 9408 LTDA,Tecnologia,Marituba,Metropolitana,445583.08,178608.49,17,2009-04-06,-1.4870864217337725,-48.40094840115019
14.202.562/0001-33,Empresa 4461 LTDA,Tecnologia,Santa Izabel do Pará,Metropolitana,191976.15,156553.28,2,2024-04-06,-1.3746859048923086,-48.483551665115634
35.639.533/0001-38,Empresa 3263 LTDA,Alimentação,Santa Izabel do Pará,Metropolitana,129347.95,39280.92,15,2011-04-06,-1.4918891257475602,-48.53614158052985
18.405.878/0001-69,Empresa 6577 LTDA,Tecnologia,Santa Izabel do Pará,Metropolitana,261709.8,73224.91,16,2010-04-06,-1.3037645321394125,-48.51323814653589
29.925.843/0001-84,Empresa 4172 LTDA,Alimentação,Parauapebas,Sudeste,48352.43,33790.14,8,2018-04-06,-2.2900180397854717,-47.587934629518216
83.335.351/0001-27,Empresa 9262 LTDA,Logística,Santa Izabel do Pará,Metropolitana,2667975.27,1927663.65,3,2023-04-06,-1.3363842113279287,-48.35673994728185
63.300.975/0001-45,Empresa 6541 LTDA,Alimentação,Marabá,Sudeste,9407.54,8876.12,1,2025-04-06,-4.617718828816256,-55.05820878484958
73.335.793/0001-62,Empresa 7508 LTDA,Vestuário,Castanhal,Nordeste,224804.92,54798.2,19,2007-04-06,-0.3247385913545102,-51.98182858889093
13.541.426/0001-58,Empresa 6063 LTDA,Alimentação,Itaituba,Oeste,61566.49,29148.41,9,2017-04-06,-6.871799222197362,-50.99062509874557
12.248.101/0001-29,Empresa 4645 LTDA,Tecnologia,Parauapebas,Sudeste,645273.79,172128.94,16,2010-04-06,-2.6311894895689987,-46.69877576593207
20.978.652/0001-61,Empresa 1509 LTDA,Serviços (MEI),Castanhal,Nordeste,12262.18,6457.6,12,2014-04-06,-5.071121446167734,-51.73128314598448
19.745.297/0001-53,Empresa 1091 LTDA,Vestuário,Canaã dos Carajás,Sudeste,126496.08,69812.65,14,2012-04-06,-5.306858410576283,-48.868232753640456
82.245.959/0001-95,Empresa 8487 LTDA,Vestuário,Soure,Marajó,91716.67,48656.71,15,2011-04-06,-8.820678215518546,-50.54951609080266
94.455.171/0001-29,Empresa 4494 LTDA,Alimentação,Capanema,Nordeste,8124.67,3528.87,17,2009-04-06,-1.2803287652886652,-46.84253001455594
24.925.355/0001-98,Empresa 8498 LTDA,Logística,Breves,Marajó,3967848.97,1800548.97,7,2019-04-06,-6.722311282029778,-49.49429582763839
61.821.142/0001-28,Empresa 9328 LTDA,Alimentação,Breves,Marajó,13737.24,4521.95,14,2012-04-06,-2.3259506812892425,-53.70376655441663
40.659.404/0001-23,Empresa 2304 LTDA,Serviços (MEI),Altamira,Oeste,13193.6,7535.83,15,2011-04-06,-6.361251374744512,-53.15843782083645
49.382.439/0001-38,Empresa 4996 LTDA,Alimentação,Ananindeua,Metropolitana,13361.73,9233.99,7,2019-04-06,-1.3190489913818362,-48.483664021251975
79.191.141/0001-78,Empresa 7321 LTDA,Vestuário,Marabá,Sudeste,50724.53,14335.59,13,2013-04-06,-2.437145119964077,-52.41514762821967
23.593.718/0001-27,Empresa 3581 LTDA,Serviços (MEI),Canaã dos Carajás,Sudeste,27535.23,10450.19,17,2009-04-06,-4.141250891327649,-51.95184357724171
57.186.296/0001-86,Empresa 9444 LTDA,Alimentação,Salvaterra,Marajó,150241.52,39481.72,16,2010-04-06,-4.372391189232552,-50.23977985179012
38.540.952/0001-76,Empresa 8529 LTDA,Vestuário,Altamira,Oeste,47629.61,40951.65,1,2025-04-06,-0.6016824321799668,-52.229148626321
74.336.239/0001-31,Empresa 4242 LTDA,Vestuário,Santa Izabel do Pará,Metropolitana,218506.57,65371.86,14,2012-04-06,-1.3321336934076935,-48.501840897921575
61.344.762/0001-39,Empresa 1716 LTDA,Tecnologia,Altamira,Oeste,1091426.35,344667.17,16,2010-04-06,-3.547939874372531,-55.491200046476024
79.622.608/0001-31,Empresa 9742 LTDA,Logística,Canaã dos Carajás,Sudeste,897427.51,720237.93,4,2022-04-06,-0.19788269725062158,-53.777387510854716
33.345.530/0001-75,Empresa 4875 LTDA,Alimentação,Breves,Marajó,30351.55,6885.08,18,2008-04-06,-8.269242688764328,-51.73173252058793
17.586.867/0001-55,Empresa 6826 LTDA,Vestuário,Parauapebas,Sudeste,137225.62,47509.64,15,2011-04-06,-1.5060713357621864,-46.46507075378332
90.905.343/0001-26,Empresa 7938 LTDA,Tecnologia,Marabá,Sudeste,723994.75,427138.89,4,2022-04-06,-0.34352741666304176,-47.94669419515401
90.756.761/0001-51,Empresa 7627 LTDA,Logística,Altamira,Oeste,1484886.24,828553.27,14,2012-04-06,-6.624112225244665,-49.77742166202388
32.919.948/0001-46,Empresa 5837 LTDA,Tecnologia,Abaetetuba,Nordeste,1160816.71,298492.97,16,2010-04-06,-2.66791635824136,-46.84752870389998
48.778.729/0001-36,Empresa 5049 LTDA,Serviços (MEI),Marabá,Sudeste,42474.32,15604.22,16,2010-04-06,-4.204017642126715,-49.109699079025226
89.358.412/0001-56,Empresa 3997 LTDA,Alimentação,Santa Izabel do Pará,Metropolitana,50715.58,37305.73,7,2019-04-06,-1.4632667442165974,-48.415431352660704
33.383.127/0001-31,Empresa 9142 LTDA,Tecnologia,Soure,Marajó,957449.94,435553.2,17,2009-04-06,-6.528494267309933,-51.07933428418471
48.295.186/0001-34,Empresa 5640 LTDA,Alimentação,Abaetetuba,Nordeste,54202.15,38731.55,7,2019-04-06,-6.612297698876702,-51.00552345934675
36.940.261/0001-34,Empresa 8989 LTDA,Serviços (MEI),Belém,Metropolitana,23324.72,13287.27,4,2022-04-06,-1.4851956290571287,-48.4851547730091
63.229.871/0001-92,Empresa 5920 LTDA,Tecnologia,Itaituba,Oeste,19083.7,15999.12,1,2025-04-06,-5.688668989649461,-54.29140075626515
51.509.614/0001-69,Empresa 6965 LTDA,Serviços (MEI),Benevides,Metropolitana,2576.67,1747.71,3,2023-04-06,-1.3689627110504377,-48.4869187772407
30.850.149/0001-24,Empresa 6842 LTDA,Alimentação,Altamira,Oeste,14785.48,10083.87,3,2023-04-06,-0.42809893228756124,-52.657493197434135
82.166.800/0001-50,Empresa 7497 LTDA,Alimentação,Abaetetuba,Nordeste,22601.46,21354.18,1,2025-04-06,-0.5705740907570984,-46.530926131497175
72.951.989/0001-41,Empresa 1363 LTDA,Logística,Castanhal,Nordeste,1237297.46,718464.62,4,2022-04-06,-3.9270094072697503,-54.286179336713055
90.720.968/0001-36,Empresa 3768 LTDA,Tecnologia,Canaã dos Carajás,Sudeste,1044774.32,489762.85,7,2019-04-06,-8.516773676286801,-49.89022773616255
31.367.780/0001-76,Empresa 8264 LTDA,Serviços (MEI),Castanhal,Nordeste,4388.34,2527.89,10,2016-04-06,-2.748563276451801,-52.68921878293275
69.690.808/0001-75,Empresa 2489 LTDA,Serviços (MEI),Marituba,Metropolitana,8901.58,2200.43,18,2008-04-06,-1.4368769519830944,-48.36591248858299
17.506.260/0001-27,Empresa 9966 LTDA,Logística,Soure,Marajó,2191681.33,1014868.5,13,2013-04-06,-6.60538213078706,-53.73366610739011
78.265.501/0001-63,Empresa 9741 LTDA,Logística,Altamira,Oeste,159457.13,89800.03,6,2020-04-06,-4.941948697075988,-49.5657733126409
48.643.370/0001-62,Empresa 3200 LTDA,Vestuário,Salvaterra,Marajó,137296.42,66411.97,6,2020-04-06,-3.845041183601876,-53.44586370214965
69.324.984/0001-58,Empresa 2529 LTDA,Alimentação,Castanhal,Nordeste,17107.98,7005.2,14,2012-04-06,-0.39998500291105543,-46.924132664455925
38.435.616/0001-45,Empresa 8165 LTDA,Serviços (MEI),Parauapebas,Sudeste,24577.53,17666.62,4,2022-04-06,-1.2908146014155601,-47.834338358895614
80.817.282/0001-59,Empresa 1456 LTDA,Logística,Salvaterra,Marajó,901059.27,597775.83,6,2020-04-06,-7.929862036947911,-48.89489913539758
27.445.642/0001-34,Empresa 5023 LTDA,Serviços (MEI),Capanema,Nordeste,30544.43,18105.76,8,2018-04-06,-2.239270660039036,-50.69136003528142
57.651.871/0001-90,Empresa 4881 LTDA,Alimentação,Parauapebas,Sudeste,21174.58,13775.41,8,2018-04-06,-3.3062154835100124,-55.70073154798141
95.695.895/0001-16,Empresa 6513 LTDA,Logística,Santarém,Oeste,2241541.22,649983.69,15,2011-04-06,-1.2921639996499383,-51.03629737707372
71.325.587/0001-76,Empresa 7655 LTDA,Tecnologia,Marituba,Metropolitana,1147159.97,495227.08,11,2015-04-06,-1.3643273461612873,-48.36058920351794
82.310.845/0001-19,Empresa 2628 LTDA,Serviços (MEI),Marituba,Metropolitana,33646.39,13413.78,9,2017-04-06,-1.315156458660799,-48.36889820830028
25.126.734/0001-68,Empresa 5795 LTDA,Logística,Soure,Marajó,668633.57,346655.17,9,2017-04-06,-8.962427218486125,-50.964666880474
18.855.417/0001-39,Empresa 2205 LTDA,Logística,Belém,Metropolitana,6541011.78,1806906.53,16,2010-04-06,-1.4804883144669674,-48.40797088966171
22.350.878/0001-38,Empresa 6144 LTDA,Tecnologia,Redenção,Sudeste,1651081.5,428917.96,17,2009-04-06,-0.8793672796366998,-50.595168394888546
89.474.263/0001-30,Empresa 5180 LTDA,Vestuário,Redenção,Sudeste,62559.7,48770.75,4,2022-04-06,-2.019765402894919,-53.52212948199315
50.273.748/0001-36,Empresa 7130 LTDA,Vestuário,Parauapebas,Sudeste,124808.78,61064.48,15,2011-04-06,-5.564895986858492,-54.99508920838647
54.692.972/0001-94,Empresa 1885 LTDA,Alimentação,Canaã dos Carajás,Sudeste,135595.02,48227.37,10,2016-04-06,-1.1959298373635585,-52.786681339010016
24.583.169/0001-10,Empresa 2795 LTDA,Serviços (MEI),Redenção,Sudeste,21736.25,9058.36,7,2019-04-06,-1.2126308371129726,-49.46752585058943
92.491.774/0001-95,Empresa 3315 LTDA,Alimentação,Breves,Marajó,84641.44,42359.25,9,2017-04-06,-8.411773898565576,-48.81451915830398
33.985.342/0001-84,Empresa 6782 LTDA,Vestuário,Santa Izabel do Pará,Metropolitana,67739.93,38857.95,11,2015-04-06,-1.3478991613484652,-48.40727600262223
10.771.230/0001-15,Empresa 4434 LTDA,Serviços (MEI),Santarém,Oeste,14967.11,4724.51,16,2010-04-06,-0.020563111508835163,-49.647088931294974
84.982.434/0001-77,Empresa 3329 LTDA,Tecnologia,Abaetetuba,Nordeste,1465756.57,413760.34,18,2008-04-06,-5.843161085980798,-48.730731413443934
97.634.157/0001-98,Empresa 1073 LTDA,Vestuário,Ananindeua,Metropolitana,93062.45,29570.08,13,2013-04-06,-1.4583021796268825,-48.41611172932251
60.492.230/0001-65,Empresa 1326 LTDA,Tecnologia,Benevides,Metropolitana,662569.84,498755.85,6,2020-04-06,-1.3982376881751513,-48.40077424806393
92.273.959/0001-22,Empresa 7592 LTDA,Logística,Breves,Marajó,5346555.92,1976561.87,19,2007-04-06,-6.901376904915595,-55.31524938328072
93.783.155/0001-90,Empresa 7787 LTDA,Alimentação,Santarém,Oeste,80202.93,28475.35,14,2012-04-06,-2.1445987750295625,-48.577550512549486
28.681.775/0001-10,Empresa 7167 LTDA,Alimentação,Soure,Marajó,13344.56,3285.03,17,2009-04-06,-0.3093061397204657,-51.8262928606451
39.871.682/0001-89,Empresa 5273 LTDA,Vestuário,Santarém,Oeste,113941.48,56621.36,10,2016-04-06,-3.871820283356521,-55.36831343195391
88.759.848/0001-22,Empresa 5505 LTDA,Serviços (MEI),Marituba,Metropolitana,23566.81,14962.11,5,2021-04-06,-1.4826466453330283,-48.37595860303062
65.471.625/0001-80,Empresa 4517 LTDA,Serviços (MEI),Altamira,Oeste,37279.59,9753.49,18,2008-04-06,-5.736517327049535,-49.397704969915594
35.299.785/0001-44,Empresa 9203 LTDA,Tecnologia,Belém,Metropolitana,272515.67,140741.91,6,2020-04-06,-1.4640614058057326,-48.46414196557743
82.562.461/0001-39,Empresa 4997 LTDA,Logística,Altamira,Oeste,1415944.85,360666.02,17,2009-04-06,-7.450641126953285,-47.7222358944197
50.111.889/0001-33,Empresa 5147 LTDA,Serviços (MEI),Soure,Marajó,23642.51,13140.39,12,2014-04-06,-7.737917296718626,-46.404901078259975
75.448.380/0001-62,Empresa 8569 LTDA,Vestuário,Belém,Metropolitana,86481.77,35566.53,19,2007-04-06,-1.4108435205815213,-48.4824037671576
41.309.179/0001-18,Empresa 6663 LTDA,Vestuário,Parauapebas,Sudeste,23824.13,8987.16,17,2009-04-06,-7.346286782433427,-47.48913493613105
85.151.882/0001-20,Empresa 5970 LTDA,Alimentação,Ananindeua,Metropolitana,98539.52,41188.24,14,2012-04-06,-1.3200224741190663,-48.378863044837765
27.341.427/0001-18,Empresa 7175 LTDA,Serviços (MEI),Abaetetuba,Nordeste,14661.27,5190.51,10,2016-04-06,-7.865938557676058,-53.691805495963564
52.587.740/0001-65,Empresa 4193 LTDA,Tecnologia,Redenção,Sudeste,217265.86,160411.94,4,2022-04-06,-0.579920800755886,-55.848294537400996
65.648.699/0001-32,Empresa 3132 LTDA,Vestuário,Itaituba,Oeste,23185.42,19193.67,2,2024-04-06,-7.0818022177640305,-50.64968728188133
63.372.827/0001-27,Empresa 8961 LTDA,Logística,Benevides,Metropolitana,1071902.27,980692.95,1,2025-04-06,-1.4514023330701586,-48.493368014877895
53.138.932/0001-26,Empresa 1339 LTDA,Vestuário,Belém,Metropolitana,109368.57,78676.87,2,2024-04-06,-1.4877691947749643,-48.491466844690116
84.276.294/0001-12,Empresa 3700 LTDA,Vestuário,Breves,Marajó,227982.59,75547.59,17,2009-04-06,-6.872606126834867,-48.90929906759131
85.302.944/0001-86,Empresa 3742 LTDA,Alimentação,Breves,Marajó,120193.17,48845.61,16,2010-04-06,-6.265182223772476,-49.38954472119343
59.177.709/0001-90,Empresa 7698 LTDA,Logística,Altamira,Oeste,1643512.5,1417514.98,1,2025-04-06,-7.466386151886354,-48.13369586876898
42.644.700/0001-95,Empresa 6581 LTDA,Logística,Benevides,Metropolitana,1029296.62,571701.29,16,2010-04-06,-1.4141937260149058,-48.491376603759065
74.982.217/0001-55,Empresa 7550 LTDA,Logística,Itaituba,Oeste,229832.33,167290.69,6,2020-04-06,-7.160657034878959,-54.12478499847535
64.147.399/0001-43,Empresa 9676 LTDA,Logística,Breves,Marajó,407092.98,197729.1,15,2011-04-06,-4.022353377843296,-50.28435964839072
41.706.356/0001-88,Empresa 4835 LTDA,Vestuário,Itaituba,Oeste,67041.67,53809.1,2,2024-04-06,-0.37800783306699337,-48.85310230413966
36.141.313/0001-40,Empresa 1048 LTDA,Vestuário,Belém,Metropolitana,178162.7,52036.84,16,2010-04-06,-1.3824524854123101,-48.3516365327866
87.465.992/0001-27,Empresa 3319 LTDA,Alimentação,Itaituba,Oeste,39937.71,27524.18,8,2018-04-06,-7.056103929947964,-54.25548364904851
77.114.377/0001-96,Empresa 5530 LTDA,Alimentação,Capanema,Nordeste,94334.51,29262.72,19,2007-04-06,-6.758222023262229,-49.34503442602654
19.955.133/0001-26,Empresa 6204 LTDA,Logística,Santarém,Oeste,3559098.12,1552845.86,14,2012-04-06,-7.9670326126017095,-50.86972301099147
94.619.208/0001-48,Empresa 9587 LTDA,Serviços (MEI),Parauapebas,Sudeste,34155.38,10348.5,13,2013-04-06,-3.8936317709940553,-53.47980065595838
36.908.622/0001-49,Empresa 1141 LTDA,Logística,Belém,Metropolitana,877250.41,282255.17,12,2014-04-06,-1.4823852886229516,-48.37469800473453
42.555.992/0001-83,Empresa 7674 LTDA,Logística,Soure,Marajó,1714357.0,740275.33,14,2012-04-06,-8.119293512736204,-46.137957508828585
78.237.469/0001-86,Empresa 4737 LTDA,Logística,Itaituba,Oeste,1704143.87,684530.86,18,2008-04-06,-4.090674947898156,-53.44859441426957
32.339.698/0001-77,Empresa 1060 LTDA,Serviços (MEI),Benevides,Metropolitana,31511.28,18216.56,6,2020-04-06,-1.307271432907488,-48.393814450530144
76.800.931/0001-83,Empresa 4655 LTDA,Serviços (MEI),Redenção,Sudeste,45555.26,14641.7,11,2015-04-06,-1.6041346621374304,-50.45422889150262
58.600.365/0001-51,Empresa 9686 LTDA,Tecnologia,Capanema,Nordeste,303889.03,131743.12,11,2015-04-06,-8.49188176536954,-49.01205820900829
32.619.217/0001-39,Empresa 9126 LTDA,Logística,Itaituba,Oeste,1723668.25,927796.44,7,2019-04-06,-0.7148900464714885,-49.59663330570731
98.222.382/0001-98,Empresa 8413 LTDA,Alimentação,Itaituba,Oeste,54162.86,40155.13,4,2022-04-06,-5.337358063898985,-49.84378646699065
67.275.572/0001-82,Empresa 7260 LTDA,Vestuário,Soure,Marajó,25961.47,7202.45,14,2012-04-06,-4.684885071946408,-50.17562658099315
68.295.600/0001-59,Empresa 2028 LTDA,Vestuário,Breves,Marajó,78880.91,46962.86,10,2016-04-06,-4.976041755839107,-49.71492401558281
63.822.633/0001-85,Empresa 7998 LTDA,Logística,Redenção,Sudeste,3456221.84,1376219.99,8,2018-04-06,-2.255068665420911,-46.39402115033807
47.125.790/0001-42,Empresa 1078 LTDA,Serviços (MEI),Salvaterra,Marajó,7070.1,2701.2,17,2009-04-06,-1.7156680699625078,-54.45049194582517
46.443.682/0001-72,Empresa 9193 LTDA,Vestuário,Belém,Metropolitana,222220.49,65658.8,16,2010-04-06,-1.315745363224313,-48.5339485182583
38.632.764/0001-78,Empresa 2580 LTDA,Vestuário,Capanema,Nordeste,139274.8,43652.86,11,2015-04-06,-7.932417861687209,-55.797931018933646
31.853.996/0001-75,Empresa 9356 LTDA,Vestuário,Marabá,Sudeste,18982.4,11952.79,3,2023-04-06,-7.732755001460135,-53.86945910788614
63.736.918/0001-64,Empresa 9916 LTDA,Serviços (MEI),Breves,Marajó,11303.34,10743.55,1,2025-04-06,-6.311674973097812,-51.26646648631909
69.201.476/0001-40,Empresa 4451 LTDA,Tecnologia,Santarém,Oeste,423136.56,252459.16,4,2022-04-06,-7.194213525611106,-51.1421211798911
45.588.532/0001-17,Empresa 8895 LTDA,Serviços (MEI),Breves,Marajó,20214.46,6335.02,17,2009-04-06,-1.5910389336178987,-47.89855625188045
53.306.848/0001-14,Empresa 1304 LTDA,Vestuário,Santarém,Oeste,12404.45,8667.98,6,2020-04-06,-0.1976810390349275,-51.26710695729054
49.696.756/0001-85,Empresa 9726 LTDA,Alimentação,Santarém,Oeste,31837.77,17186.06,17,2009-04-06,-4.039247100531486,-47.987238480558986
44.165.436/0001-88,Empresa 6099 LTDA,Serviços (MEI),Salvaterra,Marajó,25163.82,14733.35,5,2021-04-06,-6.00286739465704,-50.12898435518883
40.155.276/0001-69,Empresa 8268 LTDA,Logística,Capanema,Nordeste,1154427.24,970796.78,1,2025-04-06,-1.240495779419251,-52.73522034519829
62.424.873/0001-59,Empresa 6743 LTDA,Serviços (MEI),Itaituba,Oeste,4684.8,2187.96,11,2015-04-06,-0.1578039961161668,-47.130029015617424
86.642.200/0001-48,Empresa 8272 LTDA,Serviços (MEI),Ananindeua,Metropolitana,26306.62,11162.76,10,2016-04-06,-1.4832478448686708,-48.36191637658597
18.598.116/0001-48,Empresa 8049 LTDA,Logística,Barcarena,Nordeste,6581831.97,1664747.89,19,2007-04-06,-4.142940442721142,-54.11328035628178
74.244.958/0001-66,Empresa 1944 LTDA,Logística,Altamira,Oeste,2823643.72,1028671.7,10,2016-04-06,-4.239732948524672,-49.828840119561434
36.860.325/0001-27,Empresa 5425 LTDA,Alimentação,Parauapebas,Sudeste,23091.97,11894.31,17,2009-04-06,-2.92725455562854,-50.09264299952835
41.325.241/0001-98,Empresa 1137 LTDA,Alimentação,Itaituba,Oeste,66334.78,36682.26,6,2020-04-06,-3.405738022007558,-49.12594536804637
82.127.216/0001-42,Empresa 2879 LTDA,Serviços (MEI),Benevides,Metropolitana,17483.26,10698.77,4,2022-04-06,-1.3055844415490214,-48.49778903941423
78.664.436/0001-20,Empresa 9381 LTDA,Logística,Barcarena,Nordeste,2847965.25,1485824.2,6,2020-04-06,-6.079263953134751,-51.78815582198232
24.404.740/0001-36,Empresa 6320 LTDA,Tecnologia,Altamira,Oeste,187275.44,153274.29,2,2024-04-06,-2.712790739998332,-49.27128785275071
54.239.149/0001-93,Empresa 3704 LTDA,Alimentação,Redenção,Sudeste,32018.04,21597.74,4,2022-04-06,-1.774737607166431,-46.192052688052975
14.476.645/0001-66,Empresa 7142 LTDA,Vestuário,Marabá,Sudeste,69860.32,35080.82,10,2016-04-06,-5.289859511887539,-55.24842947918761
76.982.257/0001-60,Empresa 7182 LTDA,Vestuário,Belém,Metropolitana,178010.79,68535.11,10,2016-04-06,-1.3594222245672853,-48.461927649046764
41.475.271/0001-58,Empresa 4538 LTDA,Tecnologia,Redenção,Sudeste,178171.29,143172.6,3,2023-04-06,-0.19920300300757532,-47.34168414258786
21.698.729/0001-45,Empresa 4224 LTDA,Logística,Altamira,Oeste,3552312.76,1908232.89,6,2020-04-06,-3.57841209890021,-47.87094135831685
41.787.360/0001-16,Empresa 5119 LTDA,Serviços (MEI),Itaituba,Oeste,30088.96,15388.73,11,2015-04-06,-3.7946112500578755,-52.37668983793088
29.276.140/0001-46,Empresa 1754 LTDA,Alimentação,Breves,Marajó,12218.47,3313.84,15,2011-04-06,-2.1746714460028764,-51.99620331915881
51.282.192/0001-14,Empresa 9456 LTDA,Serviços (MEI),Castanhal,Nordeste,3461.16,1762.53,18,2008-04-06,-8.428885497487222,-50.700343994988714
14.112.865/0001-63,Empresa 7302 LTDA,Tecnologia,Itaituba,Oeste,504207.95,321727.51,11,2015-04-06,-2.660558801421769,-52.435333395207735
96.631.234/0001-28,Empresa 9299 LTDA,Serviços (MEI),Capanema,Nordeste,69457.17,19654.49,18,2008-04-06,-6.038443808274976,-54.419936082230045
37.839.558/0001-84,Empresa 2214 LTDA,Alimentação,Marituba,Metropolitana,10968.48,8321.32,2,2024-04-06,-1.3641739418456056,-48.52502869077548
24.394.409/0001-96,Empresa 2077 LTDA,Logística,Abaetetuba,Nordeste,1215138.32,735674.38,5,2021-04-06,-3.426619833923044,-50.8521389607155
58.883.721/0001-39,Empresa 5842 LTDA,Vestuário,Ananindeua,Metropolitana,109894.21,35982.41,11,2015-04-06,-1.4634275259713359,-48.51936892854552
41.233.847/0001-62,Empresa 9221 LTDA,Tecnologia,Barcarena,Nordeste,1609046.22,381554.96,18,2008-04-06,-0.08095929204018937,-55.388169570432545
61.440.135/0001-45,Empresa 9989 LTDA,Serviços (MEI),Altamira,Oeste,3885.16,3474.08,1,2025-04-06,-0.7214473126275678,-46.558980780087815
63.570.872/0001-56,Empresa 4753 LTDA,Vestuário,Abaetetuba,Nordeste,177328.68,58983.27,14,2012-04-06,-8.723627899594943,-47.4449241458234
49.848.182/0001-62,Empresa 1944 LTDA,Serviços (MEI),Breves,Marajó,20741.23,9331.18,7,2019-04-06,-1.2070285775452367,-49.86960991690956
47.637.839/0001-40,Empresa 5577 LTDA,Vestuário,Belém,Metropolitana,145759.33,46391.92,11,2015-04-06,-1.4510635906830809,-48.456488355344945
50.262.105/0001-25,Empresa 1115 LTDA,Tecnologia,Capanema,Nordeste,528517.14,212578.72,17,2009-04-06,-3.954999962075629,-54.60552002376705
56.497.112/0001-85,Empresa 3078 LTDA,Vestuário,Soure,Marajó,69245.2,36068.62,16,2010-04-06,-6.6745313325322995,-46.2161544197275
31.696.469/0001-61,Empresa 6352 LTDA,Serviços (MEI),Altamira,Oeste,14779.45,7567.21,14,2012-04-06,-1.5782025679074652,-49.606091475867174
